                                            结算单 Settlement Statement                                                

账户：0019
日期：20190808
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        13038811.74                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            13850252.20
平仓盈亏 Realized P/L：              59350.00                  保证金占用 Margin Occupied：       4905134.50
持仓盈亏  MTM P/L：                 753800.00                  可用资金 Fund Avail.：             8945117.70
手续费 Commission：                   1709.54                  风险度 Risk Degree：                   35.42%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1947.000|       500.00|      1947.00|
|     大商所|            c2001|  20190719|  投机|    卖|       57|     1978.000|         1947.000|     14250.00|     55489.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1978.000|         1947.000|       500.00|      1947.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1947.000|      5000.00|     19470.00|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1978.000|         1947.000|      3500.00|     13629.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1978.000|         1947.000|     12500.00|     48675.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1978.000|         1947.000|      7500.00|     29205.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1947.000|      5000.00|     19470.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1947.000|      1000.00|      3894.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1947.000|      2500.00|      9735.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1947.000|      2500.00|      9735.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1977.000|         1947.000|      2750.00|     10708.50|
|     大商所|            c2001|  20190719|  投机|    卖|       64|     1977.000|         1947.000|     16000.00|     62304.00|
|     大商所|            c2001|  20190722|  投机|    卖|      104|     1965.000|         1947.000|     26000.00|    101244.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190722|  投机|    卖|       16|     1965.000|         1947.000|      4000.00|     15576.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1947.000|      3250.00|     12655.50|
|     大商所|            c2001|  20190722|  投机|    卖|       10|     1965.000|         1947.000|      2500.00|      9735.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1947.000|       750.00|      2920.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1947.000|       750.00|      2920.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190722|  投机|    卖|       48|     1965.000|         1947.000|     12000.00|     46728.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1947.000|      1000.00|      3894.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1947.000|      1250.00|      4867.50|
|     大商所|            c2001|  20190719|  投机|    卖|       16|     1977.000|         1947.000|      4000.00|     15576.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1947.000|       500.00|      1947.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1977.000|         1947.000|      1750.00|      6814.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1947.000|       500.00|      1947.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1947.000|       500.00|      1947.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1947.000|       250.00|       973.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1947.000|      2000.00|      7788.00|
