                                            结算单 Settlement Statement                                                

账户：0019
日期：20190805
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        12664834.29                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            12744118.13
平仓盈亏 Realized P/L：              14300.00                  保证金占用 Margin Occupied：       4780843.00
持仓盈亏  MTM P/L：                  65510.00                  可用资金 Fund Avail.：             7963275.13
手续费 Commission：                    526.16                  风险度 Risk Degree：                   37.51%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       27|     1979.000|         1979.000|      1080.00|     26716.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1979.000|         1979.000|      1240.00|     30674.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|       57|     1978.000|         1979.000|      2280.00|     56401.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1978.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1979.000|       800.00|     19790.00|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1978.000|         1979.000|       560.00|     13853.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1978.000|         1979.000|      2000.00|     49475.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1978.000|         1979.000|      1200.00|     29685.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1979.000|       800.00|     19790.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1979.000|       160.00|      3958.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1979.000|       400.00|      9895.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1979.000|       400.00|      9895.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1977.000|         1979.000|       440.00|     10884.50|
|     大商所|            c2001|  20190719|  投机|    卖|       64|     1977.000|         1979.000|      2560.00|     63328.00|
|     大商所|            c2001|  20190722|  投机|    卖|      104|     1965.000|         1979.000|      4160.00|    102908.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|       16|     1965.000|         1979.000|       640.00|     15832.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1979.000|       520.00|     12863.50|
|     大商所|            c2001|  20190722|  投机|    卖|       10|     1965.000|         1979.000|       400.00|      9895.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1979.000|       120.00|      2968.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1979.000|       120.00|      2968.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|       48|     1965.000|         1979.000|      1920.00|     47496.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1979.000|       160.00|      3958.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1979.000|       200.00|      4947.50|
|     大商所|            c2001|  20190719|  投机|    卖|       16|     1977.000|         1979.000|       640.00|     15832.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1977.000|         1979.000|       280.00|      6926.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1979.000|       320.00|      7916.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1977.000|         1979.000|       800.00|     19790.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       19|     1977.000|         1979.000|       760.00|     18800.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1979.000|       160.00|      3958.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1979.000|       160.00|      3958.00|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1977.000|         1979.000|       240.00|      5937.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1977.000|         1979.000|      2000.00|     49475.00|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1977.000|         1979.000|      1160.00|     28695.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1979.000|       320.00|      7916.00|
|     大商所|            c2001|  20190719|  投机|    卖|       66|     1977.000|         1979.000|      2640.00|     65307.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1977.000|         1979.000|      1240.00|     30674.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1977.000|         1979.000|       120.00|      2968.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1979.000|       160.00|      3958.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1979.000|       400.00|      9895.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1979.000|       200.00|      4947.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|      173|     1977.000|         1979.000|      6920.00|    171183.50|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1964.000|         1979.000|      4000.00|     98950.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1979.000|        80.00|      1979.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1979.000|       160.00|      3958.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1979.000|       200.00|      4947.50|
|     大商所|            c2001|  20190722|  投机|    卖|       31|     1965.000|         1979.000|      1240.00|     30674.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1979.000|       120.00|      2968.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1979.000|       240.00|      5937.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1979.000|       120.00|      2968.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1979.000|       160.00|      3958.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1977.000|         1979.000|      1200.00|     29685.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1979.000|       400.00|      9895.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1979.000|       200.00|      4947.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1979.000|        40.00|       989.50|
