                                            结算单 Settlement Statement                                                

账户：0019
日期：20190814
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15380771.58                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15418722.15
平仓盈亏 Realized P/L：              -3650.00                  保证金占用 Margin Occupied：       3275447.00
持仓盈亏  MTM P/L：                  42240.00                  可用资金 Fund Avail.：            12143275.15
手续费 Commission：                    639.43                  风险度 Risk Degree：                   21.24%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190722|  投机|    卖|       16|     1965.000|         1911.000|       160.00|     15288.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1911.000|       130.00|     12421.50|
|     大商所|            c2001|  20190722|  投机|    卖|       10|     1965.000|         1911.000|       100.00|      9555.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|       48|     1965.000|         1911.000|       480.00|     45864.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190719|  投机|    卖|       16|     1977.000|         1911.000|       160.00|     15288.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1977.000|         1911.000|        70.00|      6688.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1911.000|        80.00|      7644.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1977.000|         1911.000|       200.00|     19110.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|       19|     1977.000|         1911.000|       190.00|     18154.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1977.000|         1911.000|        60.00|      5733.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1977.000|         1911.000|       500.00|     47775.00|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1977.000|         1911.000|       290.00|     27709.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1911.000|        80.00|      7644.00|
|     大商所|            c2001|  20190719|  投机|    卖|       66|     1977.000|         1911.000|       660.00|     63063.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1977.000|         1911.000|       310.00|     29620.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1977.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1911.000|       100.00|      9555.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|      173|     1977.000|         1911.000|      1730.00|    165301.50|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1964.000|         1911.000|      1000.00|     95550.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190722|  投机|    卖|       31|     1965.000|         1911.000|       310.00|     29620.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1911.000|        60.00|      5733.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1977.000|         1911.000|       300.00|     28665.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1911.000|       100.00|      9555.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1977.000|         1911.000|      1000.00|     95550.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1911.000|        70.00|      6688.50|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1911.000|       130.00|     12421.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1911.000|        70.00|      6688.50|
|     大商所|            c2001|  20190722|  投机|    卖|        8|     1965.000|         1911.000|        80.00|      7644.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1911.000|        60.00|      5733.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190722|  投机|    卖|       11|     1965.000|         1911.000|       110.00|     10510.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190722|  投机|    卖|       28|     1965.000|         1911.000|       280.00|     26754.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|       21|     1965.000|         1911.000|       210.00|     20065.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1911.000|        20.00|      1911.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1911.000|        30.00|      2866.50|
|     大商所|            c2001|  20190722|  投机|    卖|       15|     1965.000|         1911.000|       150.00|     14332.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1911.000|        60.00|      5733.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1977.000|         1911.000|       420.00|     40131.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1977.000|         1911.000|       200.00|     19110.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1966.000|         1911.000|        40.00|      3822.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1911.000|        10.00|       955.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1911.000|        50.00|      4777.50|
|     大商所|            c2001|  20190722|  投机|    卖|       44|     1965.000|         1911.000|       440.00|     42042.00|
